national,south,north,east,central,west,timestamp
47,44,37,47,47,34,2016-02-07T18:00:00+08:00
59,57,54,59,57,56,2016-02-08T23:00:00+08:00
59,57,55,59,57,56,2016-02-09T01:00:00+08:00
59,57,55,59,56,56,2016-02-09T02:00:00+08:00
59,58,55,59,56,56,2016-02-09T03:00:00+08:00
59,58,55,59,56,56,2016-02-09T04:00:00+08:00
59,58,55,59,57,56,2016-02-09T05:00:00+08:00
60,58,55,60,57,56,2016-02-09T06:00:00+08:00
60,58,56,60,57,56,2016-02-09T07:00:00+08:00
61,58,57,61,57,56,2016-02-09T08:00:00+08:00
61,58,57,61,57,57,2016-02-09T09:00:00+08:00
62,58,57,62,57,57,2016-02-09T10:00:00+08:00
62,58,58,62,58,58,2016-02-09T11:00:00+08:00
62,58,58,62,58,58,2016-02-09T12:00:00+08:00
63,59,58,63,59,59,2016-02-09T13:00:00+08:00
63,59,59,63,59,59,2016-02-09T14:00:00+08:00
63,59,59,63,59,60,2016-02-09T15:00:00+08:00
63,59,59,63,59,60,2016-02-09T16:00:00+08:00
64,60,59,64,59,60,2016-02-09T17:00:00+08:00
63,60,59,63,59,60,2016-02-09T18:00:00+08:00
63,60,59,63,59,60,2016-02-09T19:00:00+08:00
63,59,58,63,59,60,2016-02-09T20:00:00+08:00
63,59,59,63,59,60,2016-02-09T21:00:00+08:00
63,59,58,63,59,60,2016-02-09T22:00:00+08:00
63,59,58,63,59,60,2016-02-09T23:00:00+08:00
62,58,57,62,59,59,2016-02-10T01:00:00+08:00
62,58,57,62,58,59,2016-02-10T02:00:00+08:00
62,57,56,62,58,58,2016-02-10T03:00:00+08:00
62,57,56,62,58,58,2016-02-10T04:00:00+08:00
61,56,55,61,57,57,2016-02-10T05:00:00+08:00
61,56,55,61,57,57,2016-02-10T06:00:00+08:00
61,56,55,61,57,56,2016-02-10T07:00:00+08:00
60,55,54,60,56,56,2016-02-10T08:00:00+08:00
60,55,54,60,56,56,2016-02-10T09:00:00+08:00
60,55,53,60,55,55,2016-02-10T10:00:00+08:00
59,54,53,59,55,55,2016-02-10T11:00:00+08:00
59,54,53,59,55,54,2016-02-10T12:00:00+08:00
58,54,53,58,54,54,2016-02-10T13:00:00+08:00
58,53,53,58,54,53,2016-02-10T14:00:00+08:00
58,54,53,58,53,53,2016-02-10T15:00:00+08:00
57,54,53,57,53,53,2016-02-10T16:00:00+08:00
57,53,52,57,53,53,2016-02-10T17:00:00+08:00
57,53,52,57,53,53,2016-02-10T18:00:00+08:00
57,53,52,57,52,53,2016-02-10T19:00:00+08:00
56,53,52,56,52,53,2016-02-10T20:00:00+08:00
56,53,51,56,51,52,2016-02-10T21:00:00+08:00
55,52,51,55,50,52,2016-02-10T22:00:00+08:00
